,AreaName,Price ($),lat,lng,Address,City
1837,Don Valley Village,389000,43.773495000000004,-79.358963,#210 - 10 BLOORVIEW PL,Toronto
1838,Woburn,259000,43.78167,-79.247215,#1512 - 36 LEE CENTRE DR,Toronto
1839,Victoria Village,299000,43.724998,-79.328636,#2301 - 181 WYNFORD DR,Toronto
1840,York University Heights,79988,43.781139,-79.492851,#30 - 2901 STEELES AVE W,Toronto
1841,Willowdale,279600,43.778434999999995,-79.41333,#606 - 18 HOLMES AVE,Toronto
1842,Bayview Village,418000,43.769569,-79.369514,#1622 - 19 SINGER CRT,Toronto
1843,Mimico,418000,43.62273,-79.483192,#2309 - 2220 LAKE SHORE BLVD,Toronto
1844,Willowdale,669000,43.769665,-79.41378,#106 - 5162 YONGE ST,Toronto
1845,Newtonbrook,849980,43.794113,-79.43051899999999,34 GREEN BUSH RD,Toronto
1846,Henry Farm,495000,43.774895,-79.345955,#2012 - 70 FOREST MANOR RD,Toronto
1847,Humber Summit,633100,43.75555,-79.568619,2919 ISLINGTON AVE,Toronto
1848,Willowdale,334900,43.779987,-79.412735,#903 - 35 FINCH AVE E,Toronto
1849,Humber Summit,207000,43.750095,-79.567474,#218 - 2835 ISLINGTON AVE N,Toronto
1850,Jane and Finch,343000,43.764614,-79.491989,#1109 - 1 FOUR WINDS DR,Toronto
1851,Rexdale,129900,43.741695,-79.584373,1530 ALBION RD,Toronto
1852,Bendale,329000,43.773582,-79.25891899999999,#2407 - 50 BRIAN HARRISON WAY,Toronto
1853,Silverthorn,499900,43.681828,-79.462662,311 SILVERTHORN AVE,Toronto
1854,Mimico,324900,43.62381,-79.488022,#2202 - 155 LEGION RD,Toronto
1855,Humber Summit,169900,43.750095,-79.567474,#914 - 2835 ISLINGTON AVE,Toronto
1856,Islington - City Centre West,369000,43.609992999999996,-79.55748,#2803 - 215 SHERWAY GARDENS RD,Toronto
1857,York University Heights,956000,43.749916,-79.503555,12 FULWELL CRES,Toronto
1858,Humber Summit,150000,43.748459000000004,-79.568283,#206 - 2825 ISLINGTON AVE,Toronto
1859,Rouge,619900,43.823277000000004,-79.215515,92 GRISTONE CRES,Toronto
1860,Rouge,650000,43.782482,-79.131035,140 MABERLEY CRES,Toronto
1861,McGregor Park,699999,43.743446,-79.278091,52 LEAHANN DR,Toronto
1862,Mimico,344900,43.624207,-79.488228,#2429 - 165 LEGION RD N,Toronto
1863,Woodbine - Lumsden,899000,43.693295,-79.313347,238 LUMSDEN AVE,Toronto
1864,Thorncrest Village,2500000,43.663689,-79.533691,1 FRIARS LANE,Toronto
1865,Downsview,269900,43.726418,-79.47994200000001,#918 - 15 JAMES FINLAY WAY,Toronto
1866,Mimico,849000,43.618263,-79.50885799999999,414 MELROSE ST,Toronto
1867,York University Heights,699000,43.765301,-79.502525,17 DELABO DR,Toronto
1868,Brookhaven,519000,43.699989,-79.496284,83 HEARST CIRC,Toronto
1869,Victoria Village,264000,43.730323999999996,-79.327217,#1703 - 5 CONCORDE PL,Toronto
1870,Willowdale,428000,43.757988,-79.403625,#421 - 120 HARRISON GARDEN BLVD,Toronto
1871,Downsview,349900,43.726418,-79.47994200000001,#801 - 15 JAMES FINLAY WAY,Toronto
1872,Bayview Village,329000,43.769569,-79.369514,#1105 - 19 SINGER CRT,Toronto
1873,Newtonbrook,395000,43.780464,-79.447006,#1207 - 80 ANTIBES DR,Toronto
1874,Steeles,368888,43.81361,-79.32341,#203 - 275 BAMBURGH CIRC,Toronto
1875,Malvern,899000,43.815502,-79.216034,18 MIDDLEPORT CRES,Toronto
1876,Wexford,849900,43.755328999999996,-79.302849,3 PRINCEMERE CRES,Toronto
