,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
234,O'Connor - Parkview,649000,43.701313,-79.293266,41 DONORA DR,Toronto,M4B 1B5,M4B
235,Jane and Finch,449000,43.738785,-79.519264,44 JOHN CABOT WAY,Toronto,M3N 2T7,M3N
236,Rexdale,840000,43.724796,-79.55069,353 -355 ALBION RD,Toronto,M9W 2P1,M9W
237,Malvern,143000,43.803925,-79.216507,#504 - 8 SILVER BELL GRVE,Toronto,M1B 2L7,M1B
238,Midtown Toronto,1699000,43.706844,-79.419594,598 ROSELAWN AVE,Toronto,M5N 1K5,M5N
239,Don Mills,425000,43.73275,-79.345634,#903 - 75 The Donway Way,Toronto,M3C 2E9,M3C
240,Bendale,799000,43.746422,-79.243446,10 CARSLAKE CRES,Toronto,M1J 2A7,M1J
241,Mimico,780000,43.618263,-79.508858,414 MELROSE ST,Toronto,M8Z 1H2,M8Z
242,Niagara,479900,43.63641,-79.402,#913 - 21 GRAND MAGAZINE ST,Toronto,M5V 1B5,M5V
243,Bendale,439900,43.773403,-79.254951,#1508 - 25 TOWN CENTRE CRT,Toronto,M1P 0A9,M1P
245,Midtown Toronto,3995000,43.685169,-79.391342,#401 - 9 JACKES AVE,Toronto,M4T 1E2,M4T
246,Downtown,609000,43.668777,-79.383995,#1010 - 45 CHARLES ST,Toronto,M4Y 1S2,M4Y
247,Agincourt,598000,43.814278,-79.262596,67 Redhead Cres,Toronto,M1V 2Z9,M1V
248,Newtonbrook,949000,43.778324,-79.427597,65 Routliffe Lane,Toronto,M2N 0A5,M2N
249,Newtonbrook,439888,43.78067,-79.418343,#618 - 25 Greenview Ave,Toronto,M2M 0A5,M2M
250,Clairlea - Birchmount,659900,43.704426,-79.29393,1021 Victoria Park Ave,Toronto,M4B 2J7,M4B
251,L'Amoreaux,758000,43.801937,-79.321388,17 Hildenboro Sq,Toronto,M1W 1Y2,M1W
253,Old East York,699000,43.685673,-79.332558,23 Springdale Blvd,Toronto,M4J 1W4,M4J
254,Earlscourt,388000,43.678635,-79.444672,#709 - 26 NORTON AVE,Toronto,M6E 1E2,M6E
255,The Kingsway,729000,43.652515,-79.52037,55 Allanbrooke Dr,Toronto,M9A 3N7,M9A
256,Malvern,698888,43.814468,-79.222031,11B Maidenhair Lane,Toronto,M1B 6B5,M1B
257,Little Portugal,399900,43.642391,-79.424736,#917 - 68 ABELL ST,Toronto,M6J 0B1,M6J
258,Toronto,205000,43.653225,-79.383186,#901 - 5 San Romano Way,Toronto,M5G 1P5,M5G
259,Trinity - Bellwoods,1198000,43.648449,-79.410301,67 A CLAREMONT ST,Toronto,M6J 2M7,M6J
260,Agincourt,849900,43.794025,-79.285156,39 Stainforth Dr,Toronto,M1S 1L8,M1S
261,Willowdale,419888,43.772167,-79.412369,#206 - 260 DORIS AVE,Toronto,M2N 6X9,M2N
262,Downtown,415000,43.643051,-79.39164,#2209 - 361 FRONT ST W,Toronto,M5V 3R5,M5V
263,Earlscourt,709000,43.679317,-79.459732,192 PRESCOTT AVE,Toronto,M6N 3H1,M6N
