,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
250,Agincourt,950000,43.793625,-79.2771,37 LAURALYNN CRES,Toronto,M1S 2H5,M1S
251,Wexford - Maryvale,85000,43.72538,-79.299232,2926 EGLINTON AVE E,Toronto,M1L 2L1,M1L
253,Bayview Village,332000,43.769485,-79.368919,#1215 - 15 SINGER CRT,Toronto,M2K 0B4,M2K
254,Long Branch,1649000,43.596386,-79.523834,3289 -91 LAKESHORE BLVD W,Toronto,M8W 1M8,M8W
255,Malvern,437000,43.792263,-79.237587,#405 - 1585 MARKHAM RD,Toronto,M1B 2W1,M1B
256,Downtown,75000,43.650963,-79.397903,#219 - 222 SPADINA AVE,Toronto,M5T 3B3,M5T
257,Toronto,398800,43.761047,-79.410904,#157 - 4750 YONGE ST,Toronto,L4C 0M5,L4C
258,Willowdale,588800,43.760464,-79.410248,#811 - 2 ANNDALE DR,Toronto,M2N 0G5,M2N
259,Agincourt,105000,43.788311,-79.268082,#351 - 4438 SHEPPARD AVE E,Toronto,M1S 1V2,M1S
260,Downtown,387000,43.649567,-79.397865,#302 - 38 CAMERON ST,Toronto,M5T 0C3,M5T
261,Downtown,358000,43.67049,-79.38163,#1710 - 100 HAYDEN DR,Toronto,M4Y 3G2,M4Y
262,Thornhill,145000,43.823112,-79.36956,2300 John Street,Toronto,L3T 6G7,L3T
263,Little Portugal,299900,43.641697,-79.423431,#911 E - 36 LISGAR ST,Toronto,M6J 0A9,M6J
264,Silverthorn,279900,43.682056,-79.466515,475 D ROGERS RD,Toronto,M6M 1B2,M6M
265,Downtown,385000,43.667324,-79.372574,#805 - 225 WELLESLEY ST E,Toronto,M4X 1X8,M4X
266,Parma Court,320000,43.71833,-79.303375,# 301 - 45 SUNRISE AVE,Toronto,M4A 2S3,M4A
267,Niagara,374000,43.641579,-79.415901,#802 - 1030 KING ST W,Toronto,M6K 0B4,M6K
268,Downtown,329900,43.650372,-79.382347,#3604 - 70 TEMPERANCE ST,Toronto,M5H 3V5,M5H
269,Lansing,364900,43.760658,-79.41581,#903 - 88 SHEPPARD AVE,Toronto,M2N 1M5,M2N
270,Newtonbrook,334800,43.78017,-79.418251,#2601 - 15 GREENVIEW AVE,Toronto,M2M 4M7,M2M
